
Entry	g_ordered-locus	g_name	PDB
A0A075B6H7		IGKV3-7	
Q96NJ5		KLHL32	
Q9NR64		KLHL1	
Q9H2S1		KCNN2	5V02;5WBX;5WC5;6ALE;
A8MTY7		KRTAP9-7	
Q8N109		KIR2DL5A	
A8MXZ3		KRTAP9-1	
P57682		KLF3	
Q9Y6Z4		KIF25-AS1	
Q8N4N8		KIF2B	
Q5JUK3		KCNT1	
C9JBD0		KRBOX1	
Q96KK3		KCNS1	
A0A0C4DH68		IGKV2-24	
Q8IUC2		KRTAP8-1	
P49862		KLK7	2QXG;2QXH;2QXI;2QXJ;3BSQ;5FAH;5Y9L;5YJK;
Q3LI68		KRTAP22-2	
P60372		KRTAP10-4	
Q8WVF5		KCTD4	
P60014		KRTAP10-10	
Q15349		RPS6KA2	
P0C7H8		KRTAP2-3	
Q9H427		KCNK15	
P54317		PNLIPRP2	2OXE;2PVS;
Q9UJU2		LEF1	
Q5T751		LCE1C	
Q5J8X5		MS4A13	
Q9BTN0		LRFN3	
Q50LG9		LRRC24	
Q8NA19		L3MBTL4	
Q14814		MEF2D	
Q96KG7		MEGF10	
Q16655		MLANA	2GT9;2GTW;2GTZ;2GUO;3HG1;3L6F;3MRO;3MRP;3MRQ;3QDM;3QEQ;3QFD;4EUP;4JFF;4L3E;4QOK;4WJ5;5E9D;5NHT;5NQK;6D78;6DKP;
Q9BV36		MLPH	
Q8IW41		MAPKAPK5	
A8MW99		MEI4	
Q9H7P6		MVB12B	3TOW;
O00255		MEN1	3U84;3U85;3U86;3U88;4GPQ;4GQ3;4GQ4;4GQ6;4I80;4OG3;4OG4;4OG5;4OG6;4OG7;4OG8;4X5Y;4X5Z;5DB0;5DB1;5DB2;5DB3;5DD9;5DDA;5DDB;5DDC;5DDD;5DDE;5DDF;6B41;6BXH;6BXY;6BY8;6E1A;6O5I;6PKC;
O15481		MAGEB4	
Q9NX47		MARCHF5	
Q8IWC1		MAP7D3	
P40925		MDH1	
Q7KZI7		MARK2	3IEC;5EAK;5KZ7;5KZ8;
Q8NE86		MCU	4XSJ;4XTB;5BZ6;5KUE;5KUG;5KUI;5KUJ;6O58;6O5B;
Q9H1L0		MIR1-1HG	
Q9NYZ2		SLC25A37	
Q6NUT3		MFSD12	
P31152		MAPK4	
P31153		MAT2A	2P02;4KTT;4KTV;4NDN;5A19;5A1G;5A1I;5UGH;6FAJ;6FBN;6FBO;6FBP;6FCB;6FCD;6FWB;6G6R;
Q13361		MFAP5	
P55083		MFAP4	
Q9NXC5		MIOS	
Q13064		MKRN3	
Q9UPX6		MINAR1	
Q8IYU8		MICU2	6AGH;6IIH;
Q96AX9		MIB2	
Q9H306		MMP27	
Q9ULZ9		MMP17	
Q5VWP3		MLIP	
Q9UKD2		MRTO4	
Q9Y6F6		MRVI1	
P0C860		MSL3P1	
Q9Y4B5		MTCL1	
Q96AM1		MRGPRF	
Q9P0P8		MTRES1	
Q14008		CKAP5	4QMI;4QMJ;
A1L168		C20orf202	
P21291		CSRP1	
Q92784		DPF3	2KWJ;2KWK;2KWN;2KWO;5I3L;5SZB;5SZC;
O75911		DHRS3	
Q96LJ7		DHRS1	2QQ5;
Q5SXM8		DNLZ	
Q96JC9		EAF1	
P50570		DNM2	2YS1;
Q9BVJ7		DUSP23	2IMG;4ERC;
Q05923		DUSP2	1M3G;
O95936		EOMES	
Q96FG2		ELMOD3	
Q5NDL2		EOGT	
O14682		ENC1	
Q13144		EIF2B5	3JUI;6CAJ;6EZO;6K71;6K72;6O81;6O85;6O9Z;
Q8N8S7		ENAH	2HO2;2IYB;2XQN;4MY6;5N91;5N9C;5N9P;5NAJ;5NBF;5NBX;5NC2;5NC7;5NCF;5NCG;5NCP;5ND0;5NDU;5NEG;
Q96D98		EID2B	
Q14241		ELOA	4HFX;
Q00013		MPP1	2EJY;2EV8;3NEY;
Q32P44		EML3	
P54753		EPHB3	3P1I;3ZFY;5L6O;5L6P;
P52798		EFNA4	
O00321		ETV2	
Q53R41		FASTKD1	
Q0Z7S8		FABP9	4A60;
Q8IXL6		FAM20C	5YH3;
Q9UBU6		FAM8A1	
Q96Q35		FLACC1	
Q8NFF5		FLAD1	
Q6ZVS7		FAM183BP	
Q7Z309		FAM122B	
Q8TE68		EPS8L1	2K2M;2ROL;
P31513		FMO3	
Q8N3X1		FNBP4	
Q14674		ESPL1	
Q9H4M3		FBXO44	3WSO;5B4N;
Q8NI29		FBXO27	
Q9UKC9		FBXL2	6O60;
Q8TC99		FNDC8	
Q9H706		GAREM1	2DKZ;
P01358			
O14976		GAK	4C57;4C58;4C59;4O38;4Y8D;5Y7Z;5Y80;
O60609		GFRA3	2GH0;6Q2S;
Q14390		GGTLC2	
Q4G0N0		GGTA1P	
Q9H1K4		SLC25A18	
Q96CW5		TUBGCP3	6V6B;6V6S;
A4D2P6		GRID2IP	
O60269		GPRIN2	
P43250		GRK6	2ACX;3NYN;3NYO;
P09341		CXCL1	1MGS;1MSG;1MSH;1ROD;
Q96SL4		GPX7	2P31;
Q9H3H5		DPAGT1	5LEV;5O5E;6BW5;6BW6;6FM9;6FWZ;
Q9HD26		GOPC	2DC2;2LOB;4E34;4E35;4JOE;4JOF;4JOG;4JOH;4JOJ;4JOK;4JOP;4JOR;4K6Y;4K72;4K75;4K76;4K78;4NMO;4NMP;4NMQ;4NMR;4NMS;4NMT;4NMV;4Q6H;4Q6S;5IC3;5K4F;6OV7;
Q8TDT2		GPR152	
P51810		GPR143	
P04899		GNAI2	6D9H;
Q14749		GNMT	1R74;2AZT;
P51841		GUCY2F	
Q9Y625		GPC6	
Q8N442		GUF1	
Q76N89		HECW1	3L4H;
Q8TDB8		SLC2A14	
Q7Z4V5		HDGFL2	3EAE;3QBY;3QJ6;
Q7Z4Q2		HEATR3	
P01893		HLA-H	
P05204		HMGN2	
Q9BQS7		HEPH	
Q86VS8		HOOK3	5J8E;6B9H;
Q86YV9		HPS6	
Q9H3N8		HRH4	
Q9NWY4		HPF1	
Q7LGA3		HS2ST1	
Q13261		IL15RA	2ERS;2Z3Q;2Z3R;4GS7;
P31943		HNRNPH1	2LXU;6DHS;
P31276		HOXC13	
Q1KMD3		HNRNPUL2	
P31274		HOXC9	2LP0;2MSY;
Q96CB8		INTS12	
P25963		NFKBIA	1IKN;1NFI;
P60568		IL2	1ILM;1ILN;1IRL;1M47;1M48;1M49;1M4A;1M4B;1M4C;1NBP;1PW6;1PY2;1QVN;1Z92;2B5I;2ERJ;3INK;3QAZ;3QB1;4NEJ;4NEM;5LQB;5M5E;5UTZ;
P05111		INHA	
P0DOX7			5VIC;5VIG;5W1K;6BF7;6BF9;6MSY;6MU3;6MUB;6N2X;6N32;6N35;6NQD;
Q9Y366		IFT52	
P01571		IFNA17	
O94854		KIAA0754	
P18564		ITGB6	1LH9;4UM8;4UM9;5FFG;5FFO;5NEM;5NER;5NET;5NEU;
Q6PHW0		IYD	4TTB;4TTC;5YAK;
Q9BW62		KATNAL1	6B5C;
A0A0A0MT36		IGKV6D-21	
Q6PIL6		KCNIP4	
Q7Z7F0		KHDC4	2YQR;
Q7Z3B3		KANSL1	4CY1;4CY2;
Q587J8		KHDC3L	
Q8N7Y1		KIRREL3-AS3	
P52732		KIF11	1II6;1Q0B;1X88;1YRS;2FKY;2FL2;2FL6;2FME;2G1Q;2GM1;2IEH;2PG2;2Q2Y;2Q2Z;2UYI;2UYM;2WOG;2X2R;2X7C;2X7D;2X7E;2XAE;3CJO;3HQD;3K3B;3K5E;3KEN;3L9H;3WPN;3ZCW;4A1Z;4A28;4A50;4A51;4A5Y;4AP0;4AQV;4AQW;4AS7;4B7B;4BBG;4BXN;4CK5;4CK6;4CK7;4ZCA;4ZHI;5JV3;5ZO7;5ZO8;5ZO9;6G6Y;6G6Z;6HKX;6HKY;
P01601		IGKV1D-16	
P50748		KNTC1	
P17252		PRKCA	2ELI;3IW4;4DNL;4RA4;
Q9UEF7		KL	5W21;
Q9UK32		RPS6KA6	6G76;6G77;6G78;
P59990		KRTAP12-1	
Q12791		KCNMA1	2K44;3MT5;3NAF;6V22;6V35;6V38;6V3G;
Q92845		KIFAP3	
A8MX34		KRTAP29-1	
Q3LI73		KRTAP19-4	
Q8NEZ4		KMT2C	2YSM;2YUK;3UVL;4ERY;5F59;5F6K;6KIW;6MLC;
Q9H3M0		KCNF1	
Q92953		KCNB2	
Q9BYR2		KRTAP4-5	
Q8TBQ9		TMEM167A	
Q86U70		LDB1	2XJY;2XJZ;2YPA;6TYD;
O14633		LCE2B	
P00709		LALBA	1A4V;1B9O;1CB3;1HML;3B0I;3B0O;4L41;
Q01650		SLC7A5	6IRS;6IRT;6JMQ;
H3BQJ8		LY6L	
A6NJW4		LRRC3C	
Q86SG7		LYG2	
Q9BY71		LRRC3	
Q86VH5		LRRTM3	
P01714		IGLV3-19	
Q5T3J3		LRIF1	
Q92918		MAP4K1	6CQD;6CQE;6CQF;6NFY;6NFZ;6NG0;
Q6NSJ5		LRRC8E	
Q8N386		LRRC25	
Q5VYJ5		MALRD1	
P27816		MAP4	
Q96JE9		MAP6	
Q8N8X9		MAB21L3	
Q9NU22		MDN1	
P51948		MNAT1	1G25;6NMI;6O9L;6O9M;
Q9Y5Q3		MAFB	
Q96M61		MAGEB18	
Q16706		MAN2A1	
Q9P0N8		MARCHF2	
Q68D91		MBLAC2	
Q9Y2H9		MAST1	2M9X;3PS4;
O43148		RNMT	3BGV;3EPP;5E8J;5E9J;5E9W;
P49901		SMCP	
Q13503		MED21	
Q3V5L5		MGAT5B	
P33032		MC5R	
Q13164		MAPK7	2Q8Y;4B99;4IC7;4IC8;4ZSG;4ZSJ;4ZSL;5BYY;5BYZ;5O7I;6HKM;6HKN;
A8MYZ0		MINDY4B	
Q6ZSS7		MFSD6	
P16455		MGMT	1EH6;1EH7;1EH8;1QNT;1T38;1T39;1YFH;
Q9H825		METTL8	
Q08431		MFGE8	
Q5JXC2		MIIP	
Q8WXB1		METTL21A	4LEC;
Q2KHM9		KIAA0753	
Q9H903		MTHFD2L	
Q02750		MAP2K1	1S9J;2P55;3DV3;3DY7;3E8N;3EQB;3EQC;3EQD;3EQF;3EQG;3EQH;3EQI;3MBL;3ORN;3OS3;3PP1;3SLS;3V01;3V04;3VVH;3W8Q;3WIG;3ZLS;3ZLW;3ZLX;3ZLY;3ZM4;4AN2;4AN3;4AN9;4ANB;4ARK;4LMN;4MNE;4U7Z;4U80;4U81;5BX0;5EYM;5HZE;5YT3;6NYB;6PP9;6Q0J;6Q0T;6U2G;
Q9UPW5		AGTPBP1	
Q6IMN6		CAPRIN2	4OUL;4OUM;5J97;
P24864		CCNE1	1W98;5L2W;
Q7Z7H3		CATIP	
P83916		CBX1	2FMM;3F2U;3Q6S;5T1G;6D07;6D08;
P20160		AZU1	1A7S;1AE5;1FY1;1FY3;
Q86VP6		CAND1	1U6G;4A0C;
Q9UF02		CACNG5	
P0DN79		CBSL	
Q14781		CBX2	2D9U;3H91;5EPK;
Q7Z3S7		CACNA2D4	
Q8NCB2		CAMKV	
P13994		CCDC130	
Q9BZC1		CELF4	2DGP;2DNK;
Q96BS2		TESC	
A8MXV6		CDRT15L2	
Q5VT06		CEP350	2COZ;
Q9NS84		CHST7	
Q9P2B7		CFAP97	
Q5JTJ3		COA6	6NL3;6PCE;6PCF;
O75175		CNOT3	4C0D;4C0G;5FU6;5FU7;
Q86X95		CIR1	
H7C241		CLDN34	
Q9H1P6		C20orf85	
Q9BZJ0		CRNKL1	5MQF;5XJC;5YZG;5Z56;5Z57;5Z58;6FF4;6FF7;6ICZ;6ID0;6ID1;6QDV;
Q8N668		COMMD1	2H2M;
Q9NR63		CYP26B1	
P04798		CYP1A1	4I8V;6DWM;6DWN;6O5Y;
Q8NE35		CPEB3	2DNL;2RUG;
P36383		GJC1	3SHW;
P49238		CX3CR1	
Q9H799		CPLANE1	
P29033		GJB2	1XIR;2ZW3;3IZ1;3IZ2;5ER7;5ERA;5KJ3;5KJG;
Q9UQB3		CTNND2	
O15194		CTDSPL	2HHL;
Q6NSW5		DENND10P1	
Q8N568		DCLK2	
Q05329		GAD2	1ES0;2OKK;
P43146		DCC	2ED7;2ED8;2ED9;2EDB;2EDD;2EDE;3AU4;4URT;5X83;
A2VCK2		DCDC2B	
Q8TBM8		DNAJB14	
Q9Y2G8		DNAJC16	
Q6E0U4		DMKN	4F20;
O00115		DNASE2	
Q8WZ79		DNASE2B	
P06340		HLA-DOA	4I0P;
Q96HY7		DHTKD1	
Q96GE9		DMAC1	
Q9NRD8		DUOX2	
P63172		DYNLT1	5JPW;
Q9BSW2		CRACR2A	
Q99848		EBNA1BP2	
O42043		ERVK-18	
P61565		ERVK-21	
O60447		EVI5	
Q9NVI1		FANCI	
Q9H4H8		FAM83D	5E0L;5E0M;
P14921		ETS1	1GVJ;2NNY;2STT;2STW;3MFK;3RI4;3WTS;3WTT;3WTU;3WTV;3WTW;3WTX;3WTY;3WTZ;3WU0;3WU1;4L0Y;4L0Z;4L18;4LG0;5ZMC;
Q9BQL6		FERMT1	
Q0VG06		FAAP100	
Q9BZS1		FOXP3	3QRF;4WK8;
Q9BXU8		FTHL17	
E5RQL4		FTCDNL1	
Q9C0D6		FHDC1	
P21333		FLNA	2AAV;2BP3;2BRQ;2J3S;2JF1;2K3T;2K7P;2K7Q;2MTP;2W0P;2WFN;3CNK;3HOC;3HOP;3HOR;3ISW;3RGH;4M9P;4P3W;5XR1;6D8C;6EW1;
Q8NEZ5		FBXO22	
Q96A11		GAL3ST3	
Q96PP9		GBP4	
Q8NHY3		GAS2L2	
P50151		GNG10	
P10912		GHR	1A22;1AXI;1HWG;1HWH;1KF9;2AEW;3HHR;5OEK;5OHD;
H0YKK7		GOLGA6L19	
A8MZA4		GOLGA6L6	
Q9UEU5	; 	GAGE2D; GAGE8	
Q9BVM4		GGACT	3JUB;3JUC;3JUD;
A8MVW5		HEPACAM2	
Q14213		EBI3	
P01589		IL2RA	1ILM;1ILN;1Z92;2B5I;2ERJ;3IU3;3NFP;
Q9BZV3		IMPG2	
Q6U949		IGF2-AS	
P40305		IFI27	
Q96M15		IGF2BP2-AS1	
P05000		IFNW1	3SE4;
Q9NSI5		IGSF5	
Q969P0		IGSF8	
Q14624		ITIH4	
Q9UPP5		KIAA1107	
Q6UWN8		SPINK6	2N52;
P26006		ITGA3	
Q9NYR9		NKIRAS2	
Q6NSI8		KIAA1841	
Q9NVX7		KBTBD4	2EQX;
P19013		KRT4	
Q86Y46		KRT73	
Q9H8X2		IPPK	
P48729		CSNK1A1	5FQD;6GZD;
Q96SI1		KCTD15	
P13647		KRT5	3TNU;6JFV;
A0A0U1RQI7		KLF18	
P06315		IGKV5-2	
A6PVL3		KNCN	
Q9NVR0		KLHL11	3I3N;4AP2;4APF;
O00522		KRIT1	3U7D;4DX8;4DXA;4HDO;4HDQ;4JIF;4TKN;5D68;
P41743		PRKCI	1VD2;1WMH;1ZRZ;3A8W;3A8X;3ZH8;5LI1;5LI9;5LIH;6ILZ;
O76015		KRT38	
Q07866		KLC1	3NF1;5OJ8;
Q3LI58		KRTAP21-1	
Q86W92		PPFIBP1	
Q9ULD8		KCNH3	
Q8IZU9		KIRREL3	2CRY;
O75112		LDB3	1RGW;4YDP;
P50458		LHX2	
Q53QV2		LBH	
O00453		LST1	
Q8IV03		LURAP1L	
Q92539		LPIN2	
Q969L4		LSM10	
O95372		LYPLA2	5SYN;6BJE;
Q96S90		LYSMD1	2DJP;
Q9Y4K0		LOXL2	5ZE3;
A6NIK2		LRRC10B	
Q02078		MEF2A	1C7U;1EGW;1LEW;3KOV;3MU6;3P57;6BYY;6BZ1;
Q8N9Z9		LMNTD1	
P61244		MAX	1AN2;1HLO;1NKP;1NLW;1R05;5EYO;6G6J;6G6K;6G6L;
Q7L590		MCM10	
A0A1B0GVZ6		MBD3L2B	
O60732		MAGEC1	
C9JLW8		MCRIP1	
Q9BUT9		MCRIP2	
P43365		MAGEA12	
Q8TD91		MAGEC3	
O00754		MAN2B1	
Q86YJ5		MARCHF9	
Q8N6Q8		METTL25	
Q9NR56		MBNL1	3D2N;3D2Q;3D2S;5U6H;5U6L;5U9B;
O75121		MFAP3L	
P58340		MLF1	3UAL;3UBW;
Q9BWT6		MND1	
Q8N108		MIER1	
Q96G30		MRAP2	
Q8NB16		MLKL	2MSV;4M67;4MWI;5KNJ;5KO1;6BWK;6D74;
Q8IXF9		AQP12A	
Q7Z5J8		ANKAR	
Q6NSI1		ANKRD26P1	
O76027		ANXA9	
Q8IVF6		ANKRD18A	
Q15052		ARHGEF6	1UJY;1WYR;
Q96K21		ZFYVE19	
Q9UBL0		ARPP21	
P46597		ASMT	4A6D;4A6E;
Q8WXI3		ASB10	
P05023		ATP1A1	
Q13873		BMPR2	2HLQ;3G2F;
Q00994		BEX3	1SA6;
P59827		BPIFB4	
Q7L4P6		BEND5	
Q9HAW0		BRF2	4ROC;4ROD;4ROE;5N9G;
Q8NHY0		B4GALNT2	
Q8NDB2		BANK1	
Q0P6D6		CCDC15	
Q0P641		C2orf80	
A6NI56		CCDC154	
Q8NHW4	; 	CCL4L1; CCL4L2	
Q12864		CDH17	
Q6P1S2		C3orf33	
Q5TG92		C1orf195	
Q8NHQ1		CEP70	
Q9Y375		NDUFAF1	
Q7Z7K6		CENPV	
Q6ZTQ4		CDHR3	
Q86XR8		CEP57	4L0R;
O75419		CDC45	5DGO;
Q96RK0		CIC	2M41;4J2J;4J2L;6JRP;
P08962		CD63	
Q96Q77		CIB3	
Q6IQ19		CCSAP	
P24941		CDK2	1AQ1;1B38;1B39;1BUH;1CKP;1DI8;1DM2;1E1V;1E1X;1E9H;1F5Q;1FIN;1FQ1;1FVT;1FVV;1G5S;1GIH;1GII;1GIJ;1GY3;1GZ8;1H00;1H01;1H07;1H08;1H0V;1H0W;1H1P;1H1Q;1H1R;1H1S;1H24;1H25;1H26;1H27;1H28;1HCK;1HCL;1JST;1JSU;1JSV;1JVP;1KE5;1KE6;1KE7;1KE8;1KE9;1OGU;1OI9;1OIQ;1OIR;1OIT;1OIU;1OIY;1OKV;1OKW;1OL1;1OL2;1P2A;1P5E;1PF8;1PKD;1PW2;1PXI;1PXJ;1PXK;1PXL;1PXM;1PXN;1PXO;1PXP;1PYE;1QMZ;1R78;1URC;1URW;1V1K;1VYW;1VYZ;1W0X;1W8C;1W98;1WCC;1Y8Y;1Y91;1YKR;2A0C;2A4L;2B52;2B53;2B54;2B55;2BHE;2BHH;2BKZ;2BPM;2BTR;2BTS;2C4G;2C5N;2C5O;2C5V;2C5X;2C5Y;2C68;2C69;2C6I;2C6K;2C6L;2C6M;2C6O;2C6T;2CCH;2CCI;2CJM;2CLX;2DS1;2DUV;2EXM;2FVD;2G9X;2HIC;2I40;2IW6;2IW8;2IW9;2J9M;2JGZ;2R3F;2R3G;2R3H;2R3I;2R3J;2R3K;2R3L;2R3M;2R3N;2R3O;2R3P;2R3Q;2R3R;2R64;2UUE;2UZB;2UZD;2UZE;2UZL;2UZN;2UZO;2V0D;2V22;2VTA;2VTH;2VTI;2VTJ;2VTL;2VTM;2VTN;2VTO;2VTP;2VTQ;2VTR;2VTS;2VTT;2VU3;2VV9;2W05;2W06;2W17;2W1H;2WEV;2WFY;2WHB;2WIH;2WIP;2WMA;2WMB;2WPA;2WXV;2X1N;2XMY;2XNB;3BHT;3BHU;3BHV;3DDP;3DDQ;3DOG;3EID;3EJ1;3EOC;3EZR;3EZV;3F5X;3FZ1;3IG7;3IGG;3LE6;3LFN;3LFQ;3LFS;3MY5;3NS9;3PJ8;3PXF;3PXQ;3PXR;3PXY;3PXZ;3PY0;3PY1;3QHR;3QHW;3QL8;3QQF;3QQG;3QQH;3QQJ;3QQK;3QQL;3QRT;3QRU;3QTQ;3QTR;3QTS;3QTU;3QTW;3QTX;3QTZ;3QU0;3QWJ;3QWK;3QX2;3QX4;3QXO;3QXP;3QZF;3QZG;3QZH;3QZI;3R1Q;3R1S;3R1Y;3R28;3R6X;3R71;3R73;3R7E;3R7I;3R7U;3R7V;3R7Y;3R83;3R8L;3R8M;3R8P;3R8U;3R8V;3R8Z;3R9D;3R9H;3R9N;3R9O;3RAH;3RAI;3RAK;3RAL;3RJC;3RK5;3RK7;3RK9;3RKB;3RM6;3RM7;3RMF;3RNI;3ROY;3RPO;3RPR;3RPV;3RPY;3RZB;3S00;3S0O;3S1H;3S2P;3SQQ;3SW4;3SW7;3TI1;3TIY;3TIZ;3TNW;3ULI;3UNJ;3UNK;3WBL;4ACM;4BCK;4BCM;4BCN;4BCO;4BCP;4BCQ;4BGH;4BZD;4CFM;4CFN;4CFU;4CFV;4CFW;4CFX;4D1X;4D1Z;4EK3;4EK4;4EK5;4EK6;4EK8;4EOI;4EOJ;4EOK;4EOL;4EOM;4EON;4EOO;4EOP;4EOQ;4EOR;4EOS;4ERW;4EZ3;4EZ7;4FKG;4FKI;4FKJ;4FKL;4FKO;4FKP;4FKQ;4FKR;4FKS;4FKT;4FKU;4FKV;4FKW;4FX3;4GCJ;4I3Z;4II5;4KD1;4LYN;4NJ3;4RJ3;5A14;5AND;5ANE;5ANG;5ANI;5ANJ;5ANK;5ANO;5CYI;5D1J;5FP5;5FP6;5IEV;5IEX;5IEY;5IF1;5JQ5;5JQ8;5K4J;5L2W;5LMK;5MHQ;5NEV;5OO0;5OO1;5OO3;5OSJ;5OSM;5UQ1;5UQ2;5UQ3;6ATH;6GUB;6GUC;6GUE;6GUF;6GUH;6GUK;6GVA;6INL;6P3W;6Q3B;6Q3C;6Q3F;6Q48;6Q49;6Q4A;6Q4B;6Q4C;6Q4D;6Q4E;6Q4F;6Q4G;6Q4H;6Q4I;6Q4J;6Q4K;
P55273		CDKN2D	1BD8;1BI8;
O43822		CFAP410	
P01024		C3	1C3D;1GHQ;1W2S;2A73;2A74;2GOX;2I07;2ICE;2ICF;2NOJ;2QKI;2WII;2WIN;2WY7;2WY8;2XQW;2XWB;2XWJ;3D5R;3D5S;3G6J;3L3O;3L5N;3NMS;3OED;3OHX;3OXU;3RJ3;3T4A;4HW5;4HWJ;4I6O;4M76;4ONT;4ZH1;5FO7;5FO8;5FO9;5FOA;5FOB;5NBQ;5O32;5O35;6EHG;6RUR;6RUV;6S0B;
P0C0L5	; 	C4B; C4B_2	4XAM;
Q9UGN4		CD300A	2Q87;
P0C0L4		C4A	1HZF;4FXG;4FXK;4XAM;5JPM;5JPN;5JTW;
Q9BQ75		CMSS1	
P39059		COL15A1	3N3F;
Q9UMR7		CLEC4A	5B1W;5B1X;
Q7Z624		CAMKMT	4PWY;
P46108		CRK	1JU5;2DVJ;2EYV;2EYW;2EYX;2EYY;2EYZ;2MS4;5UL6;6ATV;
Q5IJ48		CRB2	2WO6;
O75746		SLC25A12	4P5X;4P60;
P13611		VCAN	
Q16281		CNGA3	3SWY;
Q8IY21		DDX60	
O60879		DIAPH2	
P0DN84		STRIT1	
Q9Y394		DHRS7	
Q96DY2		IQCD	
P42126		ECI1	1SG4;
P57057		SLC37A1	
O14610		GNGT2	
Q4V321		GAGE13	
Q13283		G3BP1	3Q90;4FCJ;4FCM;4IIA;5FW5;
P47870		GABRB2	6D6T;6D6U;
A1L429	; ; ; 	GAGE12B; GAGE12C; GAGE12D; GAGE12E	
Q8TF65		GIPC2	3GGE;
Q13065		GAGE1	
Q6UWU2		GLB1L	
Q49A26		GLYR1	2UYY;4GUR;4GUS;4GUT;4GUU;4HSU;6R1U;6R25;
Q15835		GRK1	5AFP;
Q6ISB3		GRHL2	5MR7;
P23416		GLRA2	
P28799		GRN	1G26;2JYE;2JYT;2JYU;2JYV;
Q8NCW6		GALNT11	
P60893		GPR85	
Q8TDV5		GPR119	
Q7Z602		GPR141	
P18283		GPX2	2HE3;
Q9BY21		GPR87	
O43555		GNRH2	
P43220		GLP1R	3C59;3C5T;3IOL;4ZGM;5E94;5NX2;5OTT;5OTU;5OTV;5OTW;5OTX;5VEW;5VEX;6B3J;6GB1;6ORV;
P13224		GP1BB	3REZ;3RFE;
Q12967		RALGDS	1RAX;2B3A;2RGF;3KH0;
P06028		GYPB	
Q96QV6		H2AC1	5GSU;5GT0;
Q8N7I0		GVQW1	
Q8NG08		HELB	
P13716		ALAD	1E51;1PV8;5HMS;5HNR;
Q4VC39		HIGD2B	
O00291		HIP1	2NO2;2QA7;3I00;
Q9BW71		HIRIP3	
P52926		HMGA2	
P09429		HMGB1	2LY4;2RTU;2YRQ;6CG0;6CIJ;6CIK;6CIL;6CIM;
Q2TB90		HKDC1	
P0C7T4		HMSD	
Q8WWQ2		HPSE2	
O43301		HSPA12A	
A0A0C4DH39		IGHV1-58	
P10997		IAPP	1KUW;2G48;2KB8;2L86;3DG1;3FPO;3FR1;3FTH;3FTK;3FTL;3FTR;3G7V;3G7W;3HGZ;5K5G;5KNZ;5KO0;5MGQ;
P0DP08		IGHV4-38-2	
A0A0C4DH43		IGHV2-70D	
P01763		IGHV3-48	
P31275		HOXC12	
A0A0B4J1V7		IGHV7-81	
Q9H1B7		IRF2BPL	2B9G;2CS3;
P40189		IL6ST	1BJ8;1BQU;1I1R;1N2Q;1P9M;1PVH;3L5H;3L5I;3L5J;
Q5TF58		IFFO2	
Q04637		EIF4G1	1LJ2;1UG3;2W97;4AZA;4F02;5EHC;5EI3;5EIR;5T46;
Q8N9C0		IGSF22	
P63241		EIF5A	1FH4;3CPF;5DLQ;
Q86T90		KIAA1328	
P08779		KRT16	
A6NK06		ACOD1	6R6U;
Q96CX2		KCTD12	6M8S;6QZL;
Q96EK5		KIFBP	
P43632		KIR2DS4	3H8N;
O43526		KCNQ2	5J03;6FEG;6FEH;
O15066		KIF3B	3B6U;
O95198		KLHL2	2XN4;4CHB;
Q9H0H3		KLHL25	
O75564		JRK	
A0A087WSZ0		IGKV1D-8	
Q04759		PRKCQ	1XJD;2ENJ;2ENN;2ENZ;2JED;4Q9Z;4RA5;5F9E;
Q9H478		KCNQ1DN	
Q12918		KLRB1	5MGR;5MGS;5MGT;
A4D1S0		KLRG2	
Q8IUG1		KRTAP1-3	
Q701N2		KRTAP5-5	
P04183		TK1	1W4R;1XBT;2ORV;2WVJ;
Q969X1		TMBIM1	
O75023		LILRB5	
Q2Q1W2		TRIM71	
P07864		LDHC	
Q9BT23		LIMD2	2LZU;
Q8N149		LILRA2	2OTP;
Q12912		LRMP	
Q1L5Z9		LONRF2	
P0DP75		MED14OS	
Q5SRR4		LY6G5C	
Q9Y608		LRRFIP2	
Q8N1E2		LYG1	
O15296		ALOX15B	4NRE;
P12980		LYL1	
A0A075B6K6		IGLV4-3	
Q9P127		LUZP4	
Q86UE6		LRRTM1	
Q6UWN5		LYPD5	
Q96PB8		LRRC3B	5EMA;
Q8N7C0		LRRC52	
Q6ZNQ3		LRRC69	
Q8N5U1		MS4A15	
Q9H9A6		LRRC40	
Q8N485		LIX1	
P09848		LCT	
Q8TD90		MAGEE2	
P46821		MAP1B	
P20916		MAG	
O00470		MEIS1	4XRS;5EGO;
Q13394		MAB21L1	5EOG;5EOM;
Q96JY0		MAEL	2CTO;
P35240		NF2	1H4R;3U8Z;4ZRI;4ZRJ;6CDS;
P43356	; 	MAGEA2; MAGEA2B	
Q8WZ33		MAFIP	
A6NNE9		MARCHF11	
A6NCF6		MAGEA13P	
Q9BZ81		MAGEB5	
Q99750		MDFI	
Q8NA82		MARCHF10	
A1Z1Q3		MACROD2	4IQY;
Q86YW9		MED12L	
Q9BY79		MFRP	
P53778		MAPK12	1CM8;4QUM;6UNA;
P05090		APOD	2APD;2HZQ;2HZR;
P32121		ARRB2	
Q9H7F0		ATP13A3	
Q14201		BTG3	
Q8TDH9		BLOC1S5	
Q6PI77		BHLHB9	
Q8TF44		C2CD4C	
